Plazas;Establecimiento;Tipo;Direccion;Numero;CodigoPostal;Coordenada_X;Coordenada_Y;Altitud;Municipio;basura
39;CHAPITA, LA;BAR;C/. ELIAS SERRA RAFOLS, 29 ;0;38200;3.369.390.106.201.170;-1.174.035.415.649.410;0;LA LAGUNA;
54;CHAPAS VIVA MON, LAS;RESTAURANTE;CTRA. EL SOBRADILLO, 7 ;0;38108;284.384.317;-1.630.622.113;0;SANTA CRUZ DE TENERIFE;
0;CHAPLIN;BAR;CANARIAS, 5 ;0;38500;0;0;0;GÜIMAR;
0;CHAPLIN;BAR;SALYTIEN, L-6/7/8 C.C.  ;0;38000;39.977.298.736.572.200;-7.533.350.372.314.450;0;ADEJE;
0;CHAPLIN;BAR-CAFETERIA;C/ JUAN RODRIGO DE TRIANA, 5;0;38508;0;0;0;GÜIMAR;
80;CHAPLIN'S;RESTAURANTE;LAGUNA PARK, L-13/14 C.C. ;0;38670;0;0;0;ADEJE;
46;CHARCA, LA;RESTAURANTE;LA SEVILLANA, S/N. (VALLE BROSQUE) ;0;38180;0;0;0;SANTA CRUZ DE TENERIFE;
30;CHAPATAL;RESTAURANTE;CHAPATAL, 34 ;0;38390;0;0;0;SANTA URSULA;
35;CHAPLIN'S;BAR;C.C. VERONICA II, 13 ;0;38000;45.794.654.846.191.400;8.526.862.144.470.210;0;ARONA;
0;CHANO;BAR;MESONERO ROMANO, 25 ;0;38000;28.397.150.229.999.900;-1.635.926.211;0;SANTA CRUZ DE TENERIFE;
32;CHARCA, LA;RESTAURANTE;LOS ANGELES, 47 ;0;38360;26.574.310.302.734.300;-9.887.155.151.367.180;0;EL SAUZAL;
0;CHARCADA, LA;BAR;ALMIRANTE GRAVINA, 11;0;38500;0;0;0;GÜIMAR;
60;CHARCADA, LA;RESTAURANTE;ALMIRANTE GRAVINA, 11;0;38500;0;0;0;GÜIMAR;
212;CHARCON, EL;RESTAURANTE;AVDA. FRANCISCO AFONSO CARRILLO, S/N. (PLAYA JARDIN);0;38400;0;0;0;PUERTO DE LA CRUZ;
0;CHARCON, EL;BAR;DEL NORTE, 96 CTRA. (EL CHARCON) ;0;38000;0;0;0;LA LAGUNA;
0;CHARCA;BAR;CALLE L-A, 24 (BDA. SOMOSIERRA) ;0;38000;28.051.372;-16.613.915;0;SANTA CRUZ DE TENERIFE;
0;CHARLIE´S CLUB;BAR;AV. LITORAL, S/N. (ANEXO HOTEL GRAN TINE RFE);0;38670;39.977.298.736.572.200;-7.533.350.372.314.450;0;ADEJE;
63;CHARCON, EL;RESTAURANTE;SAN JUAN, 33 ;0;38380;0;0;0;LA VICTORIA DE ACENTEJO;
6;CHARCUTERIA GRANT'S;BAR;BETHENCOURT ALFONSO, 11 ;0;38002;2.846.745.372;-1.624.918.967;0;SANTA CRUZ DE TENERIFE;
80;CHARLIE'S (CARLOS);RESTAURANTE;AVDA. DE LOS PUEBLOS, S/N. (URB. PALMERAS DEL SUR, L-1/3/5) ;0;38660;28.073.527;-16.728.981;0;ADEJE;
0;CHARLA, LA;BAR;ISLA DE LA GOMERA, 7 ;0;38006;0;0;0;SANTA CRUZ DE TENERIFE;
143;CHARLOT;CAFETERIA;PLAYA FAÑABE I, L-38 AL49 ;0;38000;0;0;0;ADEJE;
62;CHARQUITAS, LAS;RESTAURANTE;C/. PEÑAFIEL, 18;0;38109;0;0;993;EL ROSARIO;
152;CHARLY;RESTAURANTE;PENETRACION AVDA. JARDINES DEL SUR ;0;38650;45.794.654.846.191.400;8.526.862.144.470.210;0;ARONA;
57;CHARLIE'S (CARLOS);CAFETERIA;C/. LONDRES, 1 (C.C. LITORAL, L-11);0;38670;28.085.185.289.999.900;-1.673.412.502;0;ADEJE;
10;CHARQUITO, EL;RESTAURANTE;OBISPO PEREZ CACERES, 38 ;0;38530;30.160.860.061.645.500;-10.468.328.857.421.800;0;CANDELARIA;
0;CHASCO, EL;BAR;SARGENTOS PROVISIONALES. BQ. X ;0;38000;28.466.834;-16.255.526;0;SANTA CRUZ DE TENERIFE;
34;CHAS & DAVES (GRUPO FOLKLORICO DE MUSICA);CAFETERIA;CORAL MAR, L-15 URB. ;0;38630;45.794.654.846.191.400;8.526.862.144.470.210;0;ARONA;
